Tipo,Nombre,Año de Estreno,Mes de Estreno,ID
Movie,Shazam! Fury of the Gods,2023,3,tt10151854
Movie,Rapture Camp,2023,5,tt10178004
Movie,Creepers 'R Us,2023,9,tt10305228
Movie,Bad Boy,2023,4,tt10351180
Movie,Miraculous: Filmen om Ladybug & Cat Noir,2023,7,tt10364034
Movie,Os Perebas,2023,11,tt10750578
Movie,Next Goal Wins,2023,1,tt10767052
Movie,Al Reves,2023,2,tt10810852
Movie,Ant-Man and the Wasp: Quantumania,2023,2,tt10954600
Movie,Reception,2023,6,tt11170966
Movie,De Vuelta Al Mundo,2023,4,tt11241232
Movie,The Out-Laws,2023,7,tt11274492
Movie,Wish,2023,11,tt11304740
Movie,El Quinceañero De Mi Abuela,2023,4,tt11425114
Movie,The Idiots,2023,10,tt11608090
Movie,The Loverdoses,2023,8,tt11804530
Movie,Sophie's Rules,2023,1,tt11950404
Movie,Vernissage hos Gud,2023,1,tt12254818
Movie,Common People,2023,9,tt12515422
Movie,Mass State Lottery,2023,3,tt12781876
Movie,Luda godina - Povratak Zikine dinastije,2023,10,tt12802346
Movie,Your Place or Mine,2023,2,tt12823454
Movie,Operation Fortune,2023,1,tt7985704
Movie,Shehzada,2023,4,tt13130948
Movie,Los buenos modales,2023,4,tt13290130
Movie,High Weirdness,2023,9,tt13321744
Movie,Pros and Cons of Being Single,2023,4,tt13950336
Movie,La novia de América,2023,1,tt14211906
Movie,Big Syrup and The Maple Men,2023,5,tt14259918
Movie,My Precious,2023,4,tt14326000
Movie,Trolls Band Together,2023,11,tt14362112
Movie,Rafadan Tayfa Galaktik Tayfa,2023,1,tt14451444
Movie,Paint,2023,4,tt14472156
Movie,High in the Clouds,2023,,tt1458167
Movie,Burning Love,2023,11,tt14709996
Movie,You People,2023,1,tt14826022
Movie,Tramonto a Nord Ovest,2023,2,tt14864476
Movie,Satyaprem Ki Katha,2023,6,tt14914988
Movie,First Nights,2023,12,tt14979412
Movie,Rocky Aur Rani Ki Prem Kahani,2023,7,tt14993250
Movie,Not Funny: The Movie,2023,12,tt14996762
Movie,Love in Isolation,2023,2,tt15043302
Movie,Vida perra,2023,9,tt15153532
Movie,Me Quiere No Me Quiere,2023,2,tt15208330
Movie,Tú y Yo en Queens,2023,,tt15209090
Movie,Hela bilden,2023,4,tt15211018
Movie,Holbrook Boys,2023,,tt15226268
Movie,En dag kommer allt det här bli ditt,2023,2,tt15282128
Movie,Historias de Hotel,2023,10,tt15406258
Movie,Woods Witch,2023,,tt15405486
Movie,Ride On,2023,4,tt15430628
Movie,Desapega!,2023,2,tt15489762
Movie,Como Dios manda,2023,6,tt15502664
Movie,¡Vaya vacaciones!,2023,4,tt15523334
Movie,Zomer in Frankrijk,2023,4,tt15535192
Movie,Sobreviviendo Mis XV,2023,9,tt15565710
Movie,Big Fun,2023,5,tt15590834
Movie,Los Domirriqueños 3,2023,9,tt15656662
Movie,Dungeons & Dragons: Ehre unter Dieben,2023,3,tt2906216
Movie,A Little White Lie,2023,3,tt4225012
Movie,La Pura Vida,2023,8,tt5124794
Movie,The Hard Time Zoo,2023,12,tt6131156
Movie,Wonka,2023,12,tt6166392
Movie,Wormwood: A German Expressionistic Dystopia,2023,12,tt6250276
Movie,Migration,2023,12,tt6495056
Movie,The Super Mario Bros. Movie,2023,4,tt6718170
Movie,Jeff the Policeman Movie,2023,9,tt7713452
Movie,With an Open Heart,2023,12,tt16161286
Movie,Lost Weekend,2023,12,tt16085546
Movie,Old Man Jackson,2023,6,tt7197162
Movie,Cheburashka,2023,1,tt16550628
Movie,Wochenendrebellen,2023,9,tt15740596
Movie,House Party,2023,1,tt8005118
Movie,Untitled Holiday Comedy,2023,,tt16899416
Movie,PAW Patrol: The Mighty Movie,2023,10,tt15837338
Movie,Guardians of the Galaxy Vol. 3,2023,5,tt6791350
Movie,Skimbagirls,2023,2,tt15780110
Movie,"South B.Boys, Volando en el Suelo",2023,3,tt15881484
Movie,Tu Jhoothi Main Makkaar,2023,5,tt8672856
Movie,Bajo terapia,2023,3,tt15977250
Movie,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,8,tt8589698
Movie,Living with You,2023,9,tt15777452
Movie,Elemental,2023,6,tt15789038
Movie,Hidden Strike,2023,7,tt6879446
Movie,Asfixiados,2023,3,tt16969060
Movie,Bigfoot Kills: A True Crime Documentary,2023,,tt17071412
Movie,Phoney,2023,4,tt17322408
Movie,Lethal Love,2023,,tt17421824
